Date,SKU,Sales_Quantity,Current_Stock
2026-02-09,SKU-1001,200,518
2026-02-10,SKU-1001,187,518
2026-02-11,SKU-1001,182,518
2026-02-12,SKU-1001,181,518
2026-02-13,SKU-1001,163,518
2026-02-14,SKU-1001,160,518
2026-02-15,SKU-1001,185,518
2026-02-16,SKU-1001,168,518
2026-02-17,SKU-1001,158,518
2026-02-18,SKU-1001,149,518
2026-02-19,SKU-1001,167,518
2026-02-20,SKU-1001,167,518
2026-02-21,SKU-1001,164,518
2026-02-22,SKU-1001,168,518
2026-02-23,SKU-1001,166,518
2026-02-24,SKU-1001,172,518
2026-02-25,SKU-1001,164,518
2026-02-26,SKU-1001,172,518
2026-02-27,SKU-1001,209,518
2026-02-28,SKU-1001,196,518
2025-09-02,SKU-1002,67,953
2025-09-03,SKU-1002,87,953
2025-09-04,SKU-1002,87,953
2025-09-05,SKU-1002,95,953
2025-09-06,SKU-1002,115,953
2025-09-07,SKU-1002,114,953
2025-09-08,SKU-1002,106,953
2025-09-09,SKU-1002,97,953
2025-09-10,SKU-1002,113,953
2025-09-11,SKU-1002,102,953
2025-09-12,SKU-1002,104,953
2025-09-13,SKU-1002,110,953
2025-09-14,SKU-1002,94,953
2025-09-15,SKU-1002,94,953
2025-09-16,SKU-1002,102,953
2025-09-17,SKU-1002,89,953
2025-09-18,SKU-1002,87,953
2025-09-19,SKU-1002,91,953
2025-09-20,SKU-1002,91,953
2025-09-21,SKU-1002,86,953
2025-09-22,SKU-1002,71,953
2025-09-23,SKU-1002,56,953
2025-09-24,SKU-1002,72,953
2025-09-25,SKU-1002,66,953
2025-09-26,SKU-1002,66,953
2025-09-27,SKU-1002,29,953
2025-09-28,SKU-1002,58,953
2025-09-29,SKU-1002,51,953
2025-09-30,SKU-1002,56,953
2025-10-01,SKU-1002,51,953
2025-10-02,SKU-1002,68,953
2025-10-03,SKU-1002,73,953
2025-10-04,SKU-1002,71,953
2025-10-05,SKU-1002,74,953
2025-10-06,SKU-1002,86,953
2025-10-07,SKU-1002,68,953
2025-10-08,SKU-1002,106,953
2025-10-09,SKU-1002,87,953
2025-10-10,SKU-1002,87,953
2025-10-11,SKU-1002,102,953
2025-10-12,SKU-1002,93,953
2025-10-13,SKU-1002,106,953
2025-10-14,SKU-1002,121,953
2025-10-15,SKU-1002,114,953
2025-10-16,SKU-1002,123,953
2025-10-17,SKU-1002,136,953
2025-10-18,SKU-1002,111,953
2025-10-19,SKU-1002,126,953
2025-10-20,SKU-1002,111,953
2025-10-21,SKU-1002,90,953
2025-10-22,SKU-1002,106,953
2025-10-23,SKU-1002,100,953
2025-10-24,SKU-1002,107,953
2025-10-25,SKU-1002,83,953
2025-10-26,SKU-1002,91,953
2025-10-27,SKU-1002,75,953
2025-10-28,SKU-1002,84,953
2025-10-29,SKU-1002,68,953
2025-10-30,SKU-1002,64,953
2025-10-31,SKU-1002,61,953
2025-11-01,SKU-1002,64,953
2025-11-02,SKU-1002,54,953
2025-11-03,SKU-1002,75,953
2025-11-04,SKU-1002,61,953
2025-11-05,SKU-1002,63,953
2025-11-06,SKU-1002,78,953
2025-11-07,SKU-1002,72,953
2025-11-08,SKU-1002,83,953
2025-11-09,SKU-1002,72,953
2025-11-10,SKU-1002,95,953
2025-11-11,SKU-1002,89,953
2025-11-12,SKU-1002,83,953
2025-11-13,SKU-1002,104,953
2025-11-14,SKU-1002,85,953
2025-11-15,SKU-1002,115,953
2025-11-16,SKU-1002,112,953
2025-11-17,SKU-1002,113,953
2025-11-18,SKU-1002,123,953
2025-11-19,SKU-1002,130,953
2025-11-20,SKU-1002,128,953
2025-11-21,SKU-1002,130,953
2025-11-22,SKU-1002,123,953
2025-11-23,SKU-1002,121,953
2025-11-24,SKU-1002,130,953
2025-11-25,SKU-1002,128,953
2025-11-26,SKU-1002,126,953
2025-11-27,SKU-1002,113,953
2025-11-28,SKU-1002,111,953
2025-11-29,SKU-1002,113,953
2025-11-30,SKU-1002,106,953
2025-12-01,SKU-1002,76,953
2025-12-02,SKU-1002,72,953
2025-12-03,SKU-1002,61,953
2025-12-04,SKU-1002,72,953
2025-12-05,SKU-1002,90,953
2025-12-06,SKU-1002,77,953
2025-12-07,SKU-1002,73,953
2025-12-08,SKU-1002,72,953
2025-12-09,SKU-1002,45,953
2025-12-10,SKU-1002,58,953
2025-12-11,SKU-1002,81,953
2025-12-12,SKU-1002,63,953
2025-12-13,SKU-1002,75,953
2025-12-14,SKU-1002,84,953
2025-12-15,SKU-1002,95,953
2025-12-16,SKU-1002,96,953
2025-12-17,SKU-1002,82,953
2025-12-18,SKU-1002,104,953
2025-12-19,SKU-1002,109,953
2025-12-20,SKU-1002,110,953
2025-12-21,SKU-1002,126,953
2025-12-22,SKU-1002,124,953
2025-12-23,SKU-1002,126,953
2025-12-24,SKU-1002,136,953
2025-12-25,SKU-1002,136,953
2025-12-26,SKU-1002,121,953
2025-12-27,SKU-1002,128,953
2025-12-28,SKU-1002,136,953
2025-12-29,SKU-1002,136,953
2025-12-30,SKU-1002,128,953
2025-12-31,SKU-1002,152,953
2026-01-01,SKU-1002,161,953
2026-01-02,SKU-1002,137,953
2026-01-03,SKU-1002,110,953
2026-01-04,SKU-1002,122,953
2026-01-05,SKU-1002,115,953
2026-01-06,SKU-1002,102,953
2026-01-07,SKU-1002,118,953
2026-01-08,SKU-1002,94,953
2026-01-09,SKU-1002,90,953
2026-01-10,SKU-1002,88,953
2026-01-11,SKU-1002,97,953
2026-01-12,SKU-1002,99,953
2026-01-13,SKU-1002,94,953
2026-01-14,SKU-1002,85,953
2026-01-15,SKU-1002,75,953
2026-01-16,SKU-1002,72,953
2026-01-17,SKU-1002,86,953
2026-01-18,SKU-1002,89,953
2026-01-19,SKU-1002,97,953
2026-01-20,SKU-1002,93,953
2026-01-21,SKU-1002,101,953
2026-01-22,SKU-1002,129,953
2026-01-23,SKU-1002,106,953
2026-01-24,SKU-1002,121,953
2026-01-25,SKU-1002,122,953
2026-01-26,SKU-1002,149,953
2026-01-27,SKU-1002,134,953
2026-01-28,SKU-1002,147,953
2026-01-29,SKU-1002,160,953
2026-01-30,SKU-1002,135,953
2026-01-31,SKU-1002,161,953
2026-02-01,SKU-1002,130,953
2026-02-02,SKU-1002,139,953
2026-02-03,SKU-1002,135,953
2026-02-04,SKU-1002,140,953
2026-02-05,SKU-1002,144,953
2026-02-06,SKU-1002,134,953
2026-02-07,SKU-1002,134,953
2026-02-08,SKU-1002,131,953
2026-02-09,SKU-1002,146,953
2026-02-10,SKU-1002,127,953
2026-02-11,SKU-1002,110,953
2026-02-12,SKU-1002,99,953
2026-02-13,SKU-1002,113,953
2026-02-14,SKU-1002,97,953
2026-02-15,SKU-1002,93,953
2026-02-16,SKU-1002,88,953
2026-02-17,SKU-1002,70,953
2026-02-18,SKU-1002,85,953
2026-02-19,SKU-1002,88,953
2026-02-20,SKU-1002,90,953
2026-02-21,SKU-1002,92,953
2026-02-22,SKU-1002,108,953
2026-02-23,SKU-1002,110,953
2026-02-24,SKU-1002,102,953
2026-02-25,SKU-1002,109,953
2026-02-26,SKU-1002,132,953
2026-02-27,SKU-1002,122,953
2026-02-28,SKU-1002,128,953
2025-09-02,SKU-1003,63,355
2025-09-03,SKU-1003,74,355
2025-09-04,SKU-1003,73,355
2025-09-05,SKU-1003,79,355
2025-09-06,SKU-1003,91,355
2025-09-07,SKU-1003,99,355
2025-09-08,SKU-1003,89,355
2025-09-09,SKU-1003,90,355
2025-09-10,SKU-1003,109,355
2025-09-11,SKU-1003,114,355
2025-09-12,SKU-1003,104,355
2025-09-13,SKU-1003,106,355
2025-09-14,SKU-1003,95,355
2025-09-15,SKU-1003,84,355
2025-09-16,SKU-1003,87,355
2025-09-17,SKU-1003,73,355
2025-09-18,SKU-1003,92,355
2025-09-19,SKU-1003,65,355
2025-09-20,SKU-1003,76,355
2025-09-21,SKU-1003,79,355
2025-09-22,SKU-1003,56,355
2025-09-23,SKU-1003,60,355
2025-09-24,SKU-1003,54,355
2025-09-25,SKU-1003,27,355
2025-09-26,SKU-1003,53,355
2025-09-27,SKU-1003,32,355
2025-09-28,SKU-1003,28,355
2025-09-29,SKU-1003,53,355
2025-09-30,SKU-1003,33,355
2025-10-01,SKU-1003,30,355
2025-10-02,SKU-1003,44,355
2025-10-03,SKU-1003,66,355
2025-10-04,SKU-1003,51,355
2025-10-05,SKU-1003,63,355
2025-10-06,SKU-1003,67,355
2025-10-07,SKU-1003,83,355
2025-10-08,SKU-1003,96,355
2025-10-09,SKU-1003,78,355
2025-10-10,SKU-1003,89,355
2025-10-11,SKU-1003,91,355
2025-10-12,SKU-1003,115,355
2025-10-13,SKU-1003,124,355
2025-10-14,SKU-1003,100,355
2025-10-15,SKU-1003,99,355
2025-10-16,SKU-1003,101,355
2025-10-17,SKU-1003,109,355
2025-10-18,SKU-1003,90,355
2025-10-19,SKU-1003,105,355
2025-10-20,SKU-1003,112,355
2025-10-21,SKU-1003,119,355
2025-10-22,SKU-1003,85,355
2025-10-23,SKU-1003,105,355
2025-10-24,SKU-1003,71,355
2025-10-25,SKU-1003,81,355
2025-10-26,SKU-1003,73,355
2025-10-27,SKU-1003,82,355
2025-10-28,SKU-1003,68,355
2025-10-29,SKU-1003,73,355
2025-10-30,SKU-1003,51,355
2025-10-31,SKU-1003,62,355
2025-11-01,SKU-1003,50,355
2025-11-02,SKU-1003,51,355
2025-11-03,SKU-1003,57,355
2025-11-04,SKU-1003,64,355
2025-11-05,SKU-1003,58,355
2025-11-06,SKU-1003,58,355
2025-11-07,SKU-1003,67,355
2025-11-08,SKU-1003,55,355
2025-11-09,SKU-1003,49,355
2025-11-10,SKU-1003,80,355
2025-11-11,SKU-1003,81,355
2025-11-12,SKU-1003,82,355
2025-11-13,SKU-1003,75,355
2025-11-14,SKU-1003,85,355
2025-11-15,SKU-1003,109,355
2025-11-16,SKU-1003,95,355
2025-11-17,SKU-1003,113,355
2025-11-18,SKU-1003,108,355
2025-11-19,SKU-1003,123,355
2025-11-20,SKU-1003,131,355
2025-11-21,SKU-1003,105,355
2025-11-22,SKU-1003,111,355
2025-11-23,SKU-1003,118,355
2025-11-24,SKU-1003,119,355
2025-11-25,SKU-1003,112,355
2025-11-26,SKU-1003,122,355
2025-11-27,SKU-1003,90,355
2025-11-28,SKU-1003,88,355
2025-11-29,SKU-1003,108,355
2025-11-30,SKU-1003,87,355
2025-12-01,SKU-1003,88,355
2025-12-02,SKU-1003,87,355
2025-12-03,SKU-1003,64,355
2025-12-04,SKU-1003,81,355
2025-12-05,SKU-1003,60,355
2025-12-06,SKU-1003,72,355
2025-12-07,SKU-1003,74,355
2025-12-08,SKU-1003,57,355
2025-12-09,SKU-1003,66,355
2025-12-10,SKU-1003,69,355
2025-12-11,SKU-1003,44,355
2025-12-12,SKU-1003,54,355
2025-12-13,SKU-1003,78,355
2025-12-14,SKU-1003,69,355
2025-12-15,SKU-1003,85,355
2025-12-16,SKU-1003,69,355
2025-12-17,SKU-1003,103,355
2025-12-18,SKU-1003,100,355
2025-12-19,SKU-1003,86,355
2025-12-20,SKU-1003,109,355
2025-12-21,SKU-1003,108,355
2025-12-22,SKU-1003,140,355
2025-12-23,SKU-1003,125,355
2025-12-24,SKU-1003,122,355
2025-12-25,SKU-1003,108,355
2025-12-26,SKU-1003,134,355
2025-12-27,SKU-1003,126,355
2025-12-28,SKU-1003,107,355
2025-12-29,SKU-1003,131,355
2025-12-30,SKU-1003,122,355
2025-12-31,SKU-1003,132,355
2026-01-01,SKU-1003,127,355
2026-01-02,SKU-1003,113,355
2026-01-03,SKU-1003,116,355
2026-01-04,SKU-1003,107,355
2026-01-05,SKU-1003,83,355
2026-01-06,SKU-1003,100,355
2026-01-07,SKU-1003,94,355
2026-01-08,SKU-1003,70,355
2026-01-09,SKU-1003,74,355
2026-01-10,SKU-1003,81,355
2026-01-11,SKU-1003,74,355
2026-01-12,SKU-1003,74,355
2026-01-13,SKU-1003,86,355
2026-01-14,SKU-1003,84,355
2026-01-15,SKU-1003,96,355
2026-01-16,SKU-1003,72,355
2026-01-17,SKU-1003,78,355
2026-01-18,SKU-1003,70,355
2026-01-19,SKU-1003,88,355
2026-01-20,SKU-1003,87,355
2026-01-21,SKU-1003,88,355
2026-01-22,SKU-1003,86,355
2026-01-23,SKU-1003,113,355
2026-01-24,SKU-1003,105,355
2026-01-25,SKU-1003,110,355
2026-01-26,SKU-1003,147,355
2026-01-27,SKU-1003,123,355
2026-01-28,SKU-1003,128,355
2026-01-29,SKU-1003,139,355
2026-01-30,SKU-1003,140,355
2026-01-31,SKU-1003,128,355
2026-02-01,SKU-1003,128,355
2026-02-02,SKU-1003,133,355
2026-02-03,SKU-1003,127,355
2026-02-04,SKU-1003,139,355
2026-02-05,SKU-1003,122,355
2026-02-06,SKU-1003,135,355
2026-02-07,SKU-1003,126,355
2026-02-08,SKU-1003,125,355
2026-02-09,SKU-1003,116,355
2026-02-10,SKU-1003,120,355
2026-02-11,SKU-1003,112,355
2026-02-12,SKU-1003,107,355
2026-02-13,SKU-1003,116,355
2026-02-14,SKU-1003,99,355
2026-02-15,SKU-1003,100,355
2026-02-16,SKU-1003,84,355
2026-02-17,SKU-1003,97,355
2026-02-18,SKU-1003,80,355
2026-02-19,SKU-1003,88,355
2026-02-20,SKU-1003,87,355
2026-02-21,SKU-1003,88,355
2026-02-22,SKU-1003,90,355
2026-02-23,SKU-1003,126,355
2026-02-24,SKU-1003,97,355
2026-02-25,SKU-1003,108,355
2026-02-26,SKU-1003,114,355
2026-02-27,SKU-1003,91,355
2026-02-28,SKU-1003,121,355
